S;Code;DeclVarG;DeclVar;RealType;TypeAtomic;TypeArray;Literal;LiteralArray;Expression;ExprLogicOr;ExprLogicAnd;ExprEquals;ExprAditiv;ExprMult;ExprExp;ExprParams;ExprUnitary;ExpressionList;MatrixIndex;Assign;LoopWhCom;LoopForCom;CondCom;PrintCom;ReadCom;CallFunc;DeclFuncMain;DeclFunc;SpecReturnType;SpecReturnTypeVoid;FormalType;TypeArrayUndefined;FuncParamsFormal;FuncParamsFormalR;FuncParamsReal;Scope;Commands
;;;69;;;;;;;;;;;;;;;;;70;71;72;73;74;75;76;;;;;;;;;;;113
;;;69;;;;;;;;;;;;;;;;;70;71;72;73;74;75;76;;;;;;;;;;;114
;;;69;;;;;;;;;;;;;;;;;70;71;72;73;74;75;76;;;;;;;;;;;115
;;;69;;;;;;;;;;;;;;;;;70;71;72;73;74;75;76;;;;;;;;;;;116
;;;;;;;54;60;117;41;42;43;44;45;46;47;49;;;;;;;;;;;;;;;;;;;;
;;;;11;;;;;;;;;;;;;;;119;;;;;;;;;;;;;;;;120;;
;;;;;;;54;60;;;;;;;;121;49;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;54;60;;;;;;;;123;49;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;54;60;;;128;43;44;45;46;47;49;;;;;;;;;;;;;;;;;;;;
;;;;;;;54;60;;;;129;44;45;46;47;49;;;;;;;;;;;;;;;;;;;;
;;;;;;;54;60;;;;;130;45;46;47;49;;;;;;;;;;;;;;;;;;;;
;;;;;;;54;60;;;;;131;45;46;47;49;;;;;;;;;;;;;;;;;;;;
;;;;;;;54;60;;;;;;132;46;47;49;;;;;;;;;;;;;;;;;;;;
;;;;;;;54;60;;;;;;133;46;47;49;;;;;;;;;;;;;;;;;;;;
;;;;;;;54;60;;;;;;;134;47;49;;;;;;;;;;;;;;;;;;;;
